Vertices Density Dijkstra-List Dijkstra-Matrix BellmanFord-List BellmanFord-Matrix 
10 0.5 5.901e-06 5.555e-06 1.6618e-05 1.6397e-05 
10 0.5 6.054e-06 5.466e-06 1.6465e-05 1.6334e-05 
10 0.5 6.047e-06 5.683e-06 1.66e-05 1.6347e-05 
10 0.5 6.184e-06 5.623e-06 1.6572e-05 1.6386e-05 
10 0.5 6.028e-06 5.678e-06 1.6731e-05 1.6619e-05 
10 0.5 6.017e-06 5.69e-06 1.6642e-05 1.6622e-05 
10 0.5 6.109e-06 5.666e-06 1.6604e-05 1.6444e-05 
10 0.5 6.244e-06 5.675e-06 1.6451e-05 1.6629e-05 
10 0.5 6.236e-06 5.718e-06 1.6684e-05 1.6617e-05 
10 0.5 6.118e-06 5.701e-06 1.6671e-05 1.663e-05 
10 0.5 6.274e-06 5.808e-06 1.674e-05 1.6692e-05 
10 0.5 6.32e-06 5.826e-06 1.6763e-05 1.6624e-05 
10 0.5 6.336e-06 5.919e-06 1.6826e-05 1.6538e-05 
10 0.75 1.4445e-05 1.2045e-05 3.8427e-05 2.9619e-05 
10 0.75 1.1894e-05 1.0344e-05 2.888e-05 2.6866e-05 
10 0.75 1.2018e-05 8.878e-06 2.6118e-05 2.59e-05 
10 0.75 2.2012e-05 8.456e-06 2.5287e-05 2.4884e-05 
10 0.75 8.919e-06 7.602e-06 2.4878e-05 2.425e-05 
10 0.75 8.176e-06 7.403e-06 2.459e-05 2.4033e-05 
10 0.75 7.924e-06 7.12e-06 2.4184e-05 2.3727e-05 
10 0.75 7.606e-06 6.89e-06 2.4076e-05 2.3396e-05 
10 0.75 7.442e-06 6.994e-06 2.4041e-05 2.3433e-05 
10 0.75 7.432e-06 7.041e-06 2.4009e-05 2.3904e-05 
10 0.75 7.634e-06 7.001e-06 2.412e-05 2.3385e-05 
10 0.75 7.52e-06 6.921e-06 2.3917e-05 2.3276e-05 
10 0.75 7.442e-06 7.218e-06 2.412e-05 2.3414e-05 
10 0.75 7.319e-06 7.049e-06 2.3762e-05 2.3336e-05 
10 0.75 8.569e-06 6.828e-06 2.3641e-05 2.3964e-05 
10 0.75 7.403e-06 6.774e-06 2.4027e-05 2.3684e-05 
10 0.75 7.333e-06 6.918e-06 2.3836e-05 2.3121e-05 
10 0.75 7.547e-06 6.795e-06 2.4033e-05 2.3327e-05 
10 0.75 7.693e-06 6.746e-06 3.9157e-05 2.3686e-05 
10 0.75 7.557e-06 6.87e-06 2.3853e-05 2.3383e-05 
10 0.75 7.517e-06 6.768e-06 2.3629e-05 2.3301e-05 
10 0.75 7.56e-06 4.4614e-05 2.264e-05 1.9643e-05 
10 0.75 7.246e-06 6.254e-06 2.0082e-05 1.9308e-05 
10 0.75 6.582e-06 6.043e-06 1.9501e-05 1.9077e-05 
10 0.75 6.271e-06 5.699e-06 1.9639e-05 1.9263e-05 
10 0.75 6.308e-06 5.583e-06 1.9463e-05 1.9322e-05 
10 0.75 6.22e-06 5.616e-06 1.9552e-05 1.9325e-05 
10 0.75 6.251e-06 5.677e-06 1.9501e-05 1.9253e-05 
10 0.75 6.227e-06 5.738e-06 1.9616e-05 1.9203e-05 
10 0.75 6.058e-06 5.761e-06 1.9414e-05 1.933e-05 
10 0.75 6.12e-06 5.616e-06 1.9459e-05 1.9235e-05 
10 0.75 8.709e-06 5.833e-06 1.9525e-05 1.9359e-05 
10 0.75 6.22e-06 5.71e-06 1.9845e-05 1.9348e-05 
10 0.75 6.242e-06 5.838e-06 1.9531e-05 1.9264e-05 
10 0.75 6.215e-06 5.789e-06 1.9714e-05 1.9414e-05 
10 0.75 6.174e-06 5.888e-06 2.6266e-05 1.6382e-05 
10 0.75 5.365e-06 4.896e-06 1.654e-05 1.638e-05 
10 0.75 5.312e-06 5.046e-06 1.6763e-05 1.6428e-05 
10 0.75 5.376e-06 5.022e-06 1.6557e-05 1.6422e-05 
10 0.75 5.388e-06 4.998e-06 1.6564e-05 1.6364e-05 
10 0.75 5.318e-06 4.922e-06 2.2325e-05 1.6935e-05 
10 0.75 5.504e-06 5.13e-06 1.6624e-05 1.641e-05 
10 0.75 5.495e-06 1.1329e-05 1.628e-05 1.6463e-05 
10 0.75 5.5e-06 5.11e-06 1.6756e-05 1.6551e-05 
10 0.75 5.416e-06 5.201e-06 1.6747e-05 1.6595e-05 
10 0.75 5.467e-06 5.136e-06 1.6676e-05 1.6629e-05 
10 0.75 5.491e-06 5.108e-06 1.6833e-05 1.658e-05 
10 0.75 5.469e-06 5.193e-06 1.6724e-05 1.6558e-05 
10 0.75 5.543e-06 5.15e-06 1.6807e-05 1.6803e-05 
10 0.75 5.519e-06 5.201e-06 1.6745e-05 1.6635e-05 
