0.025905 5000
0.091749 10000
0.200463 15000
0.344082 20000
0.527563 25000
0.730079 30000
0.946437 35000
1.19085 40000
1.41521 45000
1.66854 50000
1.96072 55000
2.23406 60000
2.55317 65000
2.85835 70000
3.17052 75000
0.025931 5000
0.093753 10000
0.199449 15000
0.343114 20000
0.511621 25000
0.702124 30000
0.913555 35000
1.15488 40000
1.40422 45000
1.67253 50000
1.95078 55000
2.22804 60000
2.53725 65000
2.8663 70000
3.17149 75000
0.024933 5000
0.095743 10000
0.203456 15000
0.34311 20000
0.512601 25000
0.70016 30000
0.914548 35000
1.14494 40000
1.39424 45000
1.66155 50000
1.93583 55000
2.22309 60000
2.51926 65000
2.8434 70000
3.22737 75000
0.025927 5000
0.095749 10000
0.208436 15000
0.34807 20000
0.518609 25000
0.723062 30000
0.946474 35000
1.1699 40000
1.4192 45000
1.70843 50000
1.97372 55000
2.25393 60000
2.59206 65000
2.9142 70000
3.28521 75000
0.024941 5000
0.097737 10000
0.206444 15000
0.356063 20000
0.528586 25000
0.728048 30000
0.94547 35000
1.19081 40000
1.4471 45000
1.67455 50000
1.94084 55000
2.25597 60000
2.5412 65000
2.83439 70000
3.15656 75000
0.023933 5000
0.093717 10000
0.200496 15000
0.341056 20000
0.510637 25000
0.733007 30000
0.94946 35000
1.17486 40000
1.40228 45000
1.67253 50000
1.94277 55000
2.25896 60000
2.55616 65000
2.93013 70000
3.25327 75000
0.023932 5000
0.094749 10000
0.208454 15000
0.357057 20000
0.53055 25000
0.728079 30000
0.923529 35000
1.14593 40000
1.4212 45000
1.68752 50000
1.92685 55000
2.22605 60000
2.52522 65000
2.84243 70000
3.16154 75000
0.024935 5000
0.092744 10000
0.200467 15000
0.342086 20000
0.509638 25000
0.704119 30000
0.912568 35000
1.15188 40000
1.38928 45000
1.66654 50000
1.92588 55000
2.21707 60000
2.52625 65000
2.84436 70000
3.14459 75000
0.024931 5000
0.092759 10000
0.20245 15000
0.340092 20000
0.512595 25000
0.697139 30000
0.916554 35000
1.14491 40000
1.40225 45000
1.68449 50000
1.99366 55000
2.30184 60000
2.57112 65000
2.86836 70000
3.19246 75000
0.023936 5000
0.09575 10000
0.201461 15000
0.349064 20000
0.514622 25000
0.706078 30000
0.927518 35000
1.1599 40000
1.40624 45000
1.66857 50000
1.93283 55000
2.22508 60000
2.52624 65000
2.85038 70000
3.14658 75000
0.02395 5000
0.092719 10000
0.20047 15000
0.342081 20000
0.508646 25000
0.701155 30000
0.916547 35000
1.134 40000
1.39527 45000
1.66056 50000
1.93283 55000
2.22405 60000
2.58708 65000
2.92321 70000
3.24529 75000
0.024933 5000
0.097739 10000
0.200463 15000
0.344113 20000
0.515611 25000
0.717048 30000
0.926521 35000
1.14597 40000
1.43114 45000
1.69151 50000
1.96072 55000
2.23505 60000
2.54619 65000
2.87428 70000
3.23136 75000
0.02593 5000
0.095744 10000
0.199499 15000
0.338099 20000
0.510632 25000
0.700122 30000
0.918543 35000
1.14493 40000
1.38926 45000
1.67948 50000
2.00566 55000
2.3178 60000
2.59004 65000
2.91225 70000
3.16154 75000
0.024933 5000
0.092721 10000
0.204491 15000
0.339097 20000
0.506675 25000
0.701093 30000
0.91259 35000
1.14792 40000
1.39028 45000
1.6725 50000
1.95677 55000
2.24602 60000
2.5402 65000
2.87431 70000
3.1685 75000
0.024933 5000
0.092749 10000
0.200472 15000
0.347038 20000
0.524597 25000
0.724063 30000
0.953449 35000
1.17785 40000
1.41721 45000
1.66958 50000
1.94377 55000
2.25001 60000
2.56212 65000
2.83642 70000
3.2034 75000
0.024934 5000
0.094747 10000
0.201461 15000
0.344078 20000
0.516619 25000
0.711129 30000
0.922538 35000
1.15787 40000
1.40724 45000
1.68253 50000
1.9797 55000
2.2799 60000
2.55916 65000
2.90027 70000
3.20142 75000
0.023941 5000
0.09375 10000
0.203459 15000
0.350058 20000
0.518617 25000
0.713096 30000
0.930516 35000
1.16286 40000
1.47309 45000
2.00763 50000
2.17817 55000
2.46241 60000
2.74765 65000
3.21839 70000
3.53255 75000
0.026947 5000
0.101727 10000
0.214427 15000
0.370999 20000
0.606378 25000
0.746006 30000
0.99135 35000
1.20577 40000
1.46113 45000
1.74533 50000
2.00464 55000
2.2799 60000
2.56913 65000
2.91224 70000
3.3022 75000
0.023936 5000
0.093747 10000
0.203457 15000
0.344075 20000
0.546507 25000
0.729082 30000
0.955412 35000
1.22871 40000
1.49105 45000
1.70045 50000
1.99064 55000
2.27993 60000
2.57408 65000
2.86537 70000
3.18049 75000
0.024899 5000
0.093777 10000
0.20246 15000
0.342052 20000
0.513629 25000
0.711061 30000
0.922565 35000
1.16386 40000
1.41621 45000
1.6955 50000
1.96275 55000
2.26694 60000
2.57109 65000
2.86533 70000
3.20244 75000
0.023935 5000
0.095744 10000
0.206447 15000
0.342116 20000
0.509641 25000
0.708104 30000
0.923528 35000
1.1579 40000
1.40325 45000
1.67854 50000
1.97973 55000
2.27392 60000
2.58206 65000
2.86032 70000
3.24831 75000
0.023936 5000
0.09375 10000
0.204453 15000
0.347072 20000
0.53158 25000
0.712095 30000
0.930546 35000
1.14989 40000
1.40129 45000
1.71142 50000
2.01761 55000
2.27591 60000
2.604 65000
2.85935 70000
3.24635 75000
0.024927 5000
0.09574 10000
0.208448 15000
0.34608 20000
0.517616 25000
0.719051 30000
0.962426 35000
1.19982 40000
1.45411 45000
1.74735 50000
2.06744 55000
2.33874 60000
2.67086 65000
2.98302 70000
3.39988 75000
0.025931 5000
0.099733 10000
0.213429 15000
0.356048 20000
0.545566 25000
0.727028 30000
0.952453 35000
1.21871 40000
1.50697 45000
1.71442 50000
2.00561 55000
2.34971 60000
2.6549 65000
2.98402 70000
3.32211 75000
0.0259 5000
0.097739 10000
0.213429 15000
0.356048 20000
0.532575 25000
0.743013 30000
0.969407 35000
1.21974 40000
1.48506 45000
1.67353 50000
1.98566 55000
2.38266 60000
2.56115 65000
2.86733 70000
3.1655 75000
